gene_ref	gene_id	gene_name	condition_1	condition_2	isoformUpregulated	isoformDownregulated	iso_ref_up	iso_ref_down	featureCompared	isoformsDifferent	switchConsequence	isoPair	cell_line_comparison	featureCompared2
geneComp_00010935	ENSG00000167460.17	TPM4	acquired_resistant	intrinsically_resistant	ENST00000646974.2	ENST00000643579.2	isoComp_00101029	isoComp_00101026	exon_number	True	Exon gain	ENST00000646974.2 ENST00000643579.2	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00010935	ENSG00000167460.17	TPM4	acquired_resistant	intrinsically_resistant	ENST00000646974.2	ENST00000643579.2	isoComp_00101029	isoComp_00101026	5_utr_seq_similarity	True	5UTR is longer	ENST00000646974.2 ENST00000643579.2	42MGBA_TMZRes vs. T98G	Alternative 5' UTR Seq
geneComp_00011694	ENSG00000171222.11	SCAND1	acquired_resistant	intrinsically_resistant	ENST00000615116.1	ENST00000305978.7	isoComp_00106987	isoComp_00106985	tss	True	Tss more upstream	ENST00000615116.1 ENST00000305978.7	42MGBA_TMZRes vs. T98G	Alternative TSS
geneComp_00011694	ENSG00000171222.11	SCAND1	acquired_resistant	intrinsically_resistant	ENST00000615116.1	ENST00000305978.7	isoComp_00106987	isoComp_00106985	exon_number	True	Exon gain	ENST00000615116.1 ENST00000305978.7	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00011694	ENSG00000171222.11	SCAND1	acquired_resistant	intrinsically_resistant	ENST00000615116.1	ENST00000305978.7	isoComp_00106987	isoComp_00106985	5_utr_seq_similarity	True	5UTR is longer	ENST00000615116.1 ENST00000305978.7	42MGBA_TMZRes vs. T98G	Alternative 5' UTR Seq
geneComp_00013162	ENSG00000181264.9	TLCD5	acquired_resistant	intrinsically_resistant	ENST00000529187.1	ENST00000375095.3	isoComp_00117176	isoComp_00117174	intron_structure	True		ENST00000529187.1 ENST00000375095.3	42MGBA_TMZRes vs. T98G	Intron Structure
geneComp_00013162	ENSG00000181264.9	TLCD5	acquired_resistant	intrinsically_resistant	ENST00000529187.1	ENST00000375095.3	isoComp_00117176	isoComp_00117174	exon_number	True	Exon gain	ENST00000529187.1 ENST00000375095.3	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00013162	ENSG00000181264.9	TLCD5	acquired_resistant	intrinsically_resistant	ENST00000529187.1	ENST00000375095.3	isoComp_00117176	isoComp_00117174	intron_retention	True	Intron retention switch	ENST00000529187.1 ENST00000375095.3	42MGBA_TMZRes vs. T98G	Intron Retention
geneComp_00013162	ENSG00000181264.9	TLCD5	acquired_resistant	intrinsically_resistant	ENST00000529187.1	ENST00000375095.3	isoComp_00117176	isoComp_00117174	5_utr_seq_similarity	True	5UTR is longer	ENST00000529187.1 ENST00000375095.3	42MGBA_TMZRes vs. T98G	Alternative 5' UTR Seq
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	tss	True	Tss more upstream	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Alternative TSS
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	tts	True	Tts more upstream	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Alternative TTS
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	last_exon	True	Last exon more downstream	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Alternative Last Exon
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	exon_number	True	Exon gain	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	5_utr_seq_similarity	True	5UTR is longer	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Alternative 5' UTR Seq
geneComp_00020780	ENSG00000236682.2	MAP3K2-DT	acquired_resistant	intrinsically_resistant	MSTRG.16450.1	ENST00000654347.1	isoComp_00146636	isoComp_00146635	3_utr_seq_similarity	True	3UTR is longer	MSTRG.16450.1 ENST00000654347.1	42MGBA_TMZRes vs. T98G	Alternative 3' UTR Seq
geneComp_00028459	ENSG00000277972.2	CISD3	acquired_resistant	intrinsically_resistant	ENST00000619858.1	ENST00000613478.2	isoComp_00163174	isoComp_00163172	exon_number	True	Exon loss	ENST00000619858.1 ENST00000613478.2	42MGBA_TMZRes vs. T98G	Exon Number
geneComp_00028459	ENSG00000277972.2	CISD3	acquired_resistant	intrinsically_resistant	ENST00000619858.1	ENST00000613478.2	isoComp_00163174	isoComp_00163172	intron_retention	True	Intron retention gain	ENST00000619858.1 ENST00000613478.2	42MGBA_TMZRes vs. T98G	Intron Retention
geneComp_00032436	ENSG00000004700.16	RECQL	acquired_resistant	sensitive	ENST00000444129.7	MSTRG.5976.5	isoComp_00169112	isoComp_00169121	exon_number	True	Exon loss	ENST00000444129.7 MSTRG.5976.5	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00032436	ENSG00000004700.16	RECQL	acquired_resistant	sensitive	ENST00000444129.7	MSTRG.5976.5	isoComp_00169112	isoComp_00169121	intron_retention	True	Intron retention gain	ENST00000444129.7 MSTRG.5976.5	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00032436	ENSG00000004700.16	RECQL	acquired_resistant	sensitive	ENST00000444129.7	MSTRG.5976.5	isoComp_00169112	isoComp_00169121	5_utr_seq_similarity	True	5UTR is longer	ENST00000444129.7 MSTRG.5976.5	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00032746	ENSG00000020129.16	NCDN	acquired_resistant	sensitive	ENST00000373243.7	ENST00000356090.8	isoComp_00172365	isoComp_00172364	exon_number	True	Exon loss	ENST00000373243.7 ENST00000356090.8	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00032746	ENSG00000020129.16	NCDN	acquired_resistant	sensitive	ENST00000373243.7	ENST00000356090.8	isoComp_00172365	isoComp_00172364	intron_retention	True	Intron retention gain	ENST00000373243.7 ENST00000356090.8	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00032746	ENSG00000020129.16	NCDN	acquired_resistant	sensitive	ENST00000373243.7	ENST00000356090.8	isoComp_00172365	isoComp_00172364	5_utr_seq_similarity	True	5UTR is longer	ENST00000373243.7 ENST00000356090.8	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	tss	True	Tss more downstream	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	tts	True	Tts more upstream	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	intron_structure	True		ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	last_exon	True	Last exon more downstream	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Alternative Last Exon
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	exon_number	True	Exon loss	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	5_utr_seq_similarity	True	5UTR is longer	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00032748	ENSG00000020256.20	ZFP64	acquired_resistant	sensitive	ENST00000371523.8	ENST00000216923.5	isoComp_00172378	isoComp_00172373	3_utr_seq_similarity	True	3UTR is shorter	ENST00000371523.8 ENST00000216923.5	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00032819	ENSG00000028528.15	SNX1	acquired_resistant	sensitive	ENST00000561026.5	ENST00000559844.6	isoComp_00173113	isoComp_00173108	tts	True	Tts more upstream	ENST00000561026.5 ENST00000559844.6	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00032819	ENSG00000028528.15	SNX1	acquired_resistant	sensitive	ENST00000561026.5	ENST00000559844.6	isoComp_00173113	isoComp_00173108	intron_structure	True		ENST00000561026.5 ENST00000559844.6	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00032819	ENSG00000028528.15	SNX1	acquired_resistant	sensitive	ENST00000561026.5	ENST00000559844.6	isoComp_00173113	isoComp_00173108	exon_number	True	Exon loss	ENST00000561026.5 ENST00000559844.6	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00032819	ENSG00000028528.15	SNX1	acquired_resistant	sensitive	ENST00000561026.5	ENST00000559844.6	isoComp_00173113	isoComp_00173108	intron_retention	True	Intron retention loss	ENST00000561026.5 ENST00000559844.6	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00032819	ENSG00000028528.15	SNX1	acquired_resistant	sensitive	ENST00000561026.5	ENST00000559844.6	isoComp_00173113	isoComp_00173108	3_utr_seq_similarity	True	3UTR is shorter	ENST00000561026.5 ENST00000559844.6	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00032823	ENSG00000029364.12	SLC39A9	acquired_resistant	sensitive	ENST00000031146.8	ENST00000336643.10	isoComp_00173158	isoComp_00173159	intron_structure	True		ENST00000031146.8 ENST00000336643.10	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00032823	ENSG00000029364.12	SLC39A9	acquired_resistant	sensitive	ENST00000031146.8	ENST00000336643.10	isoComp_00173158	isoComp_00173159	exon_number	True	Exon loss	ENST00000031146.8 ENST00000336643.10	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00032928	ENSG00000042753.12	AP2S1	acquired_resistant	sensitive	ENST00000601498.5	ENST00000263270.11	isoComp_00174309	isoComp_00174301	tss	True	Tss more downstream	ENST00000601498.5 ENST00000263270.11	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00032928	ENSG00000042753.12	AP2S1	acquired_resistant	sensitive	ENST00000601498.5	ENST00000263270.11	isoComp_00174309	isoComp_00174301	intron_structure	True		ENST00000601498.5 ENST00000263270.11	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00032928	ENSG00000042753.12	AP2S1	acquired_resistant	sensitive	ENST00000601498.5	ENST00000263270.11	isoComp_00174309	isoComp_00174301	5_utr_seq_similarity	True	5UTR is shorter	ENST00000601498.5 ENST00000263270.11	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033011	ENSG00000050344.9	NFE2L3	acquired_resistant	sensitive	ENST00000606261.1	ENST00000056233.4	isoComp_00175161	isoComp_00175160	tss	True	Tss more downstream	ENST00000606261.1 ENST00000056233.4	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00033011	ENSG00000050344.9	NFE2L3	acquired_resistant	sensitive	ENST00000606261.1	ENST00000056233.4	isoComp_00175161	isoComp_00175160	exon_number	True	Exon loss	ENST00000606261.1 ENST00000056233.4	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033011	ENSG00000050344.9	NFE2L3	acquired_resistant	sensitive	ENST00000606261.1	ENST00000056233.4	isoComp_00175161	isoComp_00175160	5_utr_seq_similarity	True	5UTR is longer	ENST00000606261.1 ENST00000056233.4	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033086	ENSG00000055950.16	MRPL43	acquired_resistant	sensitive	ENST00000299179.9	ENST00000318364.12	isoComp_00175939	isoComp_00175941	tts	True	Tts more downstream	ENST00000299179.9 ENST00000318364.12	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00033086	ENSG00000055950.16	MRPL43	acquired_resistant	sensitive	ENST00000299179.9	ENST00000318364.12	isoComp_00175939	isoComp_00175941	last_exon	True	Last exon more downstream	ENST00000299179.9 ENST00000318364.12	42MGBA_TMZRes vs. 42MGBA	Alternative Last Exon
geneComp_00033086	ENSG00000055950.16	MRPL43	acquired_resistant	sensitive	ENST00000299179.9	ENST00000318364.12	isoComp_00175939	isoComp_00175941	exon_number	True	Exon gain	ENST00000299179.9 ENST00000318364.12	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033086	ENSG00000055950.16	MRPL43	acquired_resistant	sensitive	ENST00000299179.9	ENST00000318364.12	isoComp_00175939	isoComp_00175941	intron_retention	True	Intron retention loss	ENST00000299179.9 ENST00000318364.12	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00033086	ENSG00000055950.16	MRPL43	acquired_resistant	sensitive	ENST00000299179.9	ENST00000318364.12	isoComp_00175939	isoComp_00175941	3_utr_seq_similarity	True	3UTR is shorter	ENST00000299179.9 ENST00000318364.12	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00033090	ENSG00000056097.16	ZFR	acquired_resistant	sensitive	MSTRG.22327.2	ENST00000265069.13	isoComp_00175975	isoComp_00175968	intron_structure	True		MSTRG.22327.2 ENST00000265069.13	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033090	ENSG00000056097.16	ZFR	acquired_resistant	sensitive	MSTRG.22327.2	ENST00000265069.13	isoComp_00175975	isoComp_00175968	exon_number	True	Exon loss	MSTRG.22327.2 ENST00000265069.13	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033090	ENSG00000056097.16	ZFR	acquired_resistant	sensitive	MSTRG.22327.2	ENST00000265069.13	isoComp_00175975	isoComp_00175968	3_utr_seq_similarity	True	3UTR is longer	MSTRG.22327.2 ENST00000265069.13	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00033234	ENSG00000065054.14	SLC9A3R2	acquired_resistant	sensitive	ENST00000565855.5	ENST00000424542.7	isoComp_00177533	isoComp_00177527	tss	True	Tss more downstream	ENST00000565855.5 ENST00000424542.7	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00033234	ENSG00000065054.14	SLC9A3R2	acquired_resistant	sensitive	ENST00000565855.5	ENST00000424542.7	isoComp_00177533	isoComp_00177527	intron_structure	True		ENST00000565855.5 ENST00000424542.7	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033234	ENSG00000065054.14	SLC9A3R2	acquired_resistant	sensitive	ENST00000565855.5	ENST00000424542.7	isoComp_00177533	isoComp_00177527	exon_number	True	Exon loss	ENST00000565855.5 ENST00000424542.7	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033234	ENSG00000065054.14	SLC9A3R2	acquired_resistant	sensitive	ENST00000565855.5	ENST00000424542.7	isoComp_00177533	isoComp_00177527	5_utr_seq_similarity	True	5UTR is shorter	ENST00000565855.5 ENST00000424542.7	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033311	ENSG00000066926.12	FECH	acquired_resistant	sensitive	ENST00000262093.11	MSTRG.13653.3	isoComp_00178262	isoComp_00178274	tts	True	Tts more downstream	ENST00000262093.11 MSTRG.13653.3	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00033311	ENSG00000066926.12	FECH	acquired_resistant	sensitive	ENST00000262093.11	MSTRG.13653.3	isoComp_00178262	isoComp_00178274	exon_number	True	Exon loss	ENST00000262093.11 MSTRG.13653.3	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033311	ENSG00000066926.12	FECH	acquired_resistant	sensitive	ENST00000262093.11	MSTRG.13653.3	isoComp_00178262	isoComp_00178274	intron_retention	True	Intron retention gain	ENST00000262093.11 MSTRG.13653.3	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00033604	ENSG00000075239.14	ACAT1	acquired_resistant	sensitive	ENST00000265838.9	ENST00000673531.1	isoComp_00181547	isoComp_00181568	intron_structure	True		ENST00000265838.9 ENST00000673531.1	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033604	ENSG00000075239.14	ACAT1	acquired_resistant	sensitive	ENST00000265838.9	ENST00000673531.1	isoComp_00181547	isoComp_00181568	exon_number	True	Exon loss	ENST00000265838.9 ENST00000673531.1	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033604	ENSG00000075239.14	ACAT1	acquired_resistant	sensitive	ENST00000265838.9	ENST00000673531.1	isoComp_00181547	isoComp_00181568	5_utr_seq_similarity	True	5UTR is shorter	ENST00000265838.9 ENST00000673531.1	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033713	ENSG00000078098.14	FAP	acquired_resistant	sensitive	MSTRG.16637.2	ENST00000188790.9	isoComp_00182905	isoComp_00182891	intron_structure	True		MSTRG.16637.2 ENST00000188790.9	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033713	ENSG00000078098.14	FAP	acquired_resistant	sensitive	MSTRG.16637.2	ENST00000188790.9	isoComp_00182905	isoComp_00182891	exon_number	True	Exon gain	MSTRG.16637.2 ENST00000188790.9	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033713	ENSG00000078098.14	FAP	acquired_resistant	sensitive	MSTRG.16637.2	ENST00000188790.9	isoComp_00182905	isoComp_00182891	3_utr_seq_similarity	True	3UTR is longer	MSTRG.16637.2 ENST00000188790.9	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	tss	True	Tss more upstream	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	tts	True	Tts more upstream	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	intron_structure	True		ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	last_exon	True	Last exon more downstream	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative Last Exon
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	exon_number	True	Exon gain	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	5_utr_seq_similarity	True	5UTR is shorter	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	ENST00000652536.2	ENST00000448705.1	isoComp_00185362	isoComp_00185361	3_utr_seq_similarity	True	3UTR is longer	ENST00000652536.2 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	tss	True	Tss more upstream	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative TSS
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	tts	True	Tts more upstream	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	intron_structure	True		MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	last_exon	True	Last exon more downstream	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative Last Exon
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	exon_number	True	Exon gain	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	5_utr_seq_similarity	True	5UTR is shorter	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00033941	ENSG00000085377.15	PREP	acquired_resistant	sensitive	MSTRG.24729.3	ENST00000448705.1	isoComp_00185363	isoComp_00185361	3_utr_seq_similarity	True	3UTR is longer	MSTRG.24729.3 ENST00000448705.1	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000333483.14	isoComp_00186455	isoComp_00186456	tts	True	Tts more downstream	ENST00000311506.10 ENST00000333483.14	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000333483.14	isoComp_00186455	isoComp_00186456	exon_number	True	Exon gain	ENST00000311506.10 ENST00000333483.14	42MGBA_TMZRes vs. 42MGBA	Exon Number
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000333483.14	isoComp_00186455	isoComp_00186456	intron_retention	True	Intron retention switch	ENST00000311506.10 ENST00000333483.14	42MGBA_TMZRes vs. 42MGBA	Intron Retention
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000333483.14	isoComp_00186455	isoComp_00186456	5_utr_seq_similarity	True	5UTR is shorter	ENST00000311506.10 ENST00000333483.14	42MGBA_TMZRes vs. 42MGBA	Alternative 5' UTR Seq
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000333483.14	isoComp_00186455	isoComp_00186456	3_utr_seq_similarity	True	3UTR is longer	ENST00000311506.10 ENST00000333483.14	42MGBA_TMZRes vs. 42MGBA	Alternative 3' UTR Seq
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000616852.1	isoComp_00186455	isoComp_00186458	tts	True	Tts more downstream	ENST00000311506.10 ENST00000616852.1	42MGBA_TMZRes vs. 42MGBA	Alternative TTS
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000616852.1	isoComp_00186455	isoComp_00186458	intron_structure	True		ENST00000311506.10 ENST00000616852.1	42MGBA_TMZRes vs. 42MGBA	Intron Structure
geneComp_00034041	ENSG00000087995.16	METTL2A	acquired_resistant	sensitive	ENST00000311506.10	ENST00000616852.1	isoComp_00186455	isoComp_00186458	exon_number	True	Exon gain	ENST00000311506.10 ENST00000616852.1	42MGBA_TMZRes vs. 42MGBA	Exon Number
