event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	42MGBA_42MGBAres.adj.pval
ENSG00000270136.6;SE:chr1:19597109-19617257:19617336-19622099:+	31.0	29.0	16.0	18.0	0.8302375779309181	1.0
ENSG00000270136.6;SE:chr1:19597109-19600786:19600971-19622099:+	4.0	29.0	3.0	18.0	1.0	1.0
ENSG00000270136.6;SE:chr1:19623583-19626386:19626599-19626386:+	29.0	50.0	18.0	24.0	0.559428768508633	1.0
ENSG00000173436.14;SE:chr1:19623583-19625391:19625632-19626386:+	4.0	61.0	3.0	30.0	0.6847556295967949	1.0
ENSG00000070831.15;SE:chr1:22052742-22074093:22074219-22078428:+	4.0	126.0	6.0	150.0	0.7599664331517876	1.0
ENSG00000070831.15;SE:chr1:22052742-22052719:22052742-22078428:+	117.0	9.0	143.0	7.0	0.44335379952087056	1.0
ENSG00000070831.15;SE:chr1:22086866-22091427:22092414-22091427:+	117.0	863.0	143.0	882.0	0.18416366964336414	1.0
ENSG00000070831.15;SE:chr1:22052868-22074093:22074219-22078428:+	400.0	457.0	424.0	451.0	0.47062670387010674	1.0
ENSG00000070831.15;SE:chr1:22086866-22091427:22091613-22091427:+	457.0	523.0	451.0	574.0	0.24346910195903435	1.0
ENSG00000070831.15;SE:chr1:22078583-22078705:22078881-22081721:+	2.0	987.0	1.0	1031.0	0.616997237013349	1.0
ENSG00000142676.14;SE:chr1:23691829-23691805:23691829-23692611:+	588.0	26.0	500.0	10.0	0.04001018723350143	1.0
ENSG00000142676.14;SE:chr1:23691829-23692611:23692759-23693806:+	614.0	38.0	510.0	21.0	0.17893474375135143	1.0
ENSG00000142676.14;SE:chr1:23692759-23693806:23693913-23694659:+	1000.0	35.0	793.0	29.0	0.8984723301000157	1.0
ENSG00000142676.14;SE:chr1:23693913-23694659:23694791-23695797:+	919.0	20.0	756.0	20.0	0.6302756632167398	1.0
ENSG00000142676.14;SE:chr1:23694791-23695797:23695908-23696343:+	954.0	25.0	785.0	16.0	0.5259488465215949	1.0
ENSG00000142676.14;SE:chr1:23695908-23696343:23696392-23696343:+	735.0	342.0	592.0	261.0	0.6210019971048131	1.0
ENSG00000142676.14;SE:chr1:23691829-23691805:23691829-23692608:+	136.0	157.0	89.0	103.0	1.0	1.0
ENSG00000142676.14;SE:chr1:23691829-23692608:23692759-23693806:+	249.0	38.0	157.0	21.0	0.6705922492614913	1.0
ENSG00000142676.14;SE:chr1:23692759-23693806:23693913-23695797:+	20.0	9.0	20.0	6.0	0.5578258003975517	1.0
ENSG00000057757.9;SE:chr1:23778713-23779437:23779481-23779863:+	19.0	12.0	30.0	18.0	1.0	1.0
ENSG00000011009.10;SE:chr1:23793752-23793859:23793930-23794062:+	55.0	13.0	50.0	18.0	0.4138776473003407	1.0
ENSG00000011009.10;SE:chr1:23792760-23793007:23793039-23793150:+	48.0	20.0	56.0	12.0	0.15642877459800172	1.0
ENSG00000011009.10;SE:chr1:23791250-23791188:23791250-23792656:+	24.0	38.0	28.0	29.0	0.2723701343734729	1.0
ENSG00000133226.16;SE:chr1:24662804-24663182:24663224-24666814:+	187.0	263.0	158.0	150.0	0.00933148420417368	1.0
ENSG00000133226.16;SE:chr1:24646789-24647078:24647208-24648858:+	42.0	401.0	43.0	239.0	0.024034917972847868	1.0
ENSG00000133226.16;SE:chr1:24643347-24643292:24643347-24645983:+	96.0	350.0	66.0	226.0	0.7850698723915159	1.0
ENSG00000133226.16;SE:chr1:24671595-24672181:24672810-24672181:+	20.0	402.0	7.0	297.0	0.11129726013088889	1.0
ENSG00000133226.16;SE:chr1:24653032-24654305:24654343-24654854:+	23.0	458.0	13.0	316.0	0.6074964697202279	1.0
ENSG00000133226.16;SE:chr1:24647208-24648023:24648166-24648858:+	12.0	42.0	9.0	43.0	0.6283583047256873	1.0
ENSG00000169504.14;SE:chr1:24745625-24797741:24797851-24814093:+	246.0	4.0	442.0	6.0	0.7512092377597859	1.0
ENSG00000169504.14;SE:chr1:24745625-24793176:24793213-24797741:+	39.0	246.0	64.0	442.0	0.74142913454282	1.0
ENSG00000183726.10;SE:chr1:25340579-25342960:25343073-25351625:+	143.0	9.0	231.0	19.0	0.6867042791542247	1.0
ENSG00000183726.10;SE:chr1:25352974-25356792:25356853-25360659:+	150.0	3.0	235.0	7.0	0.7467808898691944	1.0
ENSG00000183726.10;SE:chr1:25351693-25352881:25352974-25356792:+	147.0	4.0	222.0	12.0	0.3005728478524837	1.0
ENSG00000183726.10;SE:chr1:25338456-25338330:25338456-25340473:+	135.0	9.0	205.0	25.0	0.14325712147571706	1.0
ENSG00000183726.10;SE:chr1:25356853-25360659:25360994-25360659:+	128.0	26.0	190.0	57.0	0.1633379728032534	1.0
ENSG00000183726.10;SE:chr1:25356853-25360659:25361142-25360659:+	7.0	147.0	15.0	232.0	0.6535249632006384	1.0
ENSG00000117640.17;SE:chr1:25823128-25823237:25823439-25823643:+	12.0	117.0	22.0	82.0	0.014637871299805712	1.0
ENSG00000117640.17;SE:chr1:25823128-25823237:25823323-25823643:+	10.0	117.0	4.0	82.0	0.41101302175080845	1.0
ENSG00000130695.15;SE:chr1:26272071-26274963:26275071-26276534:+	58.0	6.0	50.0	4.0	0.7525771446003474	1.0
ENSG00000142669.14;SE:chr1:26280203-26280082:26280203-26280764:+	58.0	10.0	164.0	38.0	0.5823630065848205	1.0
ENSG00000142669.14;SE:chr1:26280203-26280110:26280203-26280764:+	10.0	58.0	38.0	164.0	0.58236300658482	1.0
ENSG00000117682.16;SE:chr1:26446432-26447558:26447660-26457790:+	112.0	27.0	246.0	49.0	0.4995547173676191	1.0
ENSG00000198830.10;SE:chr1:26474135-26474571:26474667-26475112:+	1266.0	92.0	1240.0	95.0	0.7618943779950363	1.0
ENSG00000198830.10;SE:chr1:26472627-26472505:26472627-26473702:+	100.0	86.0	92.0	97.0	0.3530372388869508	1.0
ENSG00000198830.10;SE:chr1:26472627-26473702:26473732-26474084:+	100.0	73.0	92.0	92.0	0.1673061295001812	1.0
ENSG00000198830.10;SE:chr1:26473732-26474084:26474135-26474571:+	661.0	94.0	640.0	114.0	0.13597392123426325	1.0
ENSG00000198830.10;SE:chr1:26472627-26472505:26472627-26473482:+	641.0	469.0	645.0	472.0	1.0	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26474571:+	67.0	75.0	85.0	92.0	0.9104909034728299	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473732-26474084:+	96.0	73.0	111.0	92.0	0.7532788544048203	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26473702:+	85.0	186.0	99.0	189.0	0.4719856342910723	1.0
ENSG00000198830.10;SE:chr1:26473585-26473702:26473732-26474084:+	85.0	92.0	99.0	78.0	0.16658539603641437	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26474084:+	17.0	73.0	20.0	92.0	0.8569405265822947	1.0
ENSG00000198830.10;SE:chr1:26473527-26474084:26474135-26474571:+	103.0	94.0	88.0	103.0	0.22507728685847142	1.0
ENSG00000198830.10;SE:chr1:26474667-26475112:26475955-26475112:+	324.0	1272.0	262.0	1372.0	0.0018865025659396378	0.9999999999993823
ENSG00000198830.10;SE:chr1:26475955-26475112:26475968-26475112:+	17.0	307.0	20.0	242.0	0.3053830512210992	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26473702:+	590.0	186.0	533.0	189.0	0.33982910638272523	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473732-26474084:+	472.0	103.0	433.0	88.0	0.6904269263215356	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26474135-26474571:+	69.0	75.0	88.0	92.0	0.9110722781321982	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473817-26474084:+	91.0	103.0	88.0	88.0	0.60275790642742	1.0
ENSG00000198830.10;SE:chr1:26472627-26474084:26474135-26474571:+	73.0	75.0	92.0	92.0	0.9125245967025968	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26474084:+	92.0	73.0	78.0	92.0	0.08056998770961658	1.0
ENSG00000198830.10;SE:chr1:26473585-26474084:26474135-26474571:+	92.0	67.0	78.0	85.0	0.07532234965265044	1.0
ENSG00000198830.10;SE:chr1:26472627-26473702:26474135-26474571:+	86.0	75.0	97.0	92.0	0.747631499606129	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26474135-26474571:+	97.0	94.0	82.0	103.0	0.21698172665216253	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26474571:+	94.0	75.0	103.0	92.0	0.5998340735696364	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473732-26474571:+	94.0	94.0	114.0	103.0	0.6196662203067564	1.0
ENSG00000198830.10;SE:chr1:26473527-26473237:26473527-26474084:+	86.0	17.0	68.0	20.0	0.3586431450896576	1.0
ENSG00000198830.10;SE:chr1:26474667-26475112:26475968-26475112:+	78.0	1518.0	81.0	1553.0	0.9353692080270943	1.0
ENSG00000117713.19;SE:chr1:26729863-26731151:26731358-26731151:+	2.0	69.0	0.0	61.0	0.4990747166319729	1.0
ENSG00000117713.19;SE:chr1:26775707-26779022:26779736-26779022:+	12.0	70.0	16.0	50.0	0.14656195266159328	1.0
ENSG00000090273.13;SE:chr1:26921929-26924088:26924166-26941456:+	475.0	14.0	402.0	6.0	0.17948852730809312	1.0
ENSG00000090273.13;SE:chr1:26921929-26921755:26921929-26924088:+	435.0	76.0	365.0	64.0	1.0	1.0
ENSG00000090273.13;SE:chr1:26945686-26946129:26946391-26946129:+	466.0	60.0	383.0	56.0	0.5515332877188419	1.0
ENSG00000090273.13;SE:chr1:26941818-26942659:26943065-26945389:+	18.0	22.0	15.0	22.0	0.818354566173821	1.0
ENSG00000186501.14;SE:chr1:27322391-27322255:27322391-27330719:+	11.0	110.0	10.0	105.0	1.0	1.0
ENSG00000186501.14;SE:chr1:27334281-27334666:27334754-27335378:+	11.0	106.0	10.0	105.0	1.0	1.0
ENSG00000186501.14;SE:chr1:27322391-27322292:27322391-27330719:+	90.0	31.0	82.0	33.0	0.6610087320984925	1.0
ENSG00000186501.14;SE:chr1:27330804-27330984:27331137-27332069:+	16.0	122.0	23.0	108.0	0.1712825923009845	1.0
ENSG00000009780.15;SE:chr1:27744811-27749067:27749154-27755194:+	48.0	44.0	112.0	81.0	0.3733199905046628	1.0
ENSG00000009780.15;SE:chr1:27727536-27730231:27730333-27732602:+	44.0	48.0	107.0	86.0	0.2542372879016708	1.0
ENSG00000130770.17;SE:chr1:28236270-28236153:28236270-28236360:+	91.0	37.0	80.0	52.0	0.0893464007406235	1.0
ENSG00000204138.12;SE:chr1:28407463-28457831:28457859-28459084:+	7.0	29.0	6.0	35.0	0.761681622005149	1.0
ENSG00000204138.12;SE:chr1:28407463-28457831:28457855-28459084:+	38.0	29.0	33.0	35.0	0.3904445853161998	1.0
ENSG00000204138.12;SE:chr1:28465849-28466381:28466768-28473553:+	75.0	2.0	74.0	1.0	1.0	1.0
ENSG00000204138.12;SE:chr1:28474151-28473180:28474151-28476106:+	9.0	70.0	11.0	71.0	0.8124975319846399	1.0
ENSG00000204138.12;SE:chr1:28493091-28496533:28497706-28496533:+	9.0	70.0	11.0	71.0	0.8124975319846399	1.0
ENSG00000180198.16;SE:chr1:28529939-28530522:28530573-28531802:+	26.0	208.0	15.0	88.0	0.371052608906393	1.0
ENSG00000180198.16;SE:chr1:28531990-28532170:28532350-28535049:+	234.0	6.0	108.0	2.0	1.0	1.0
ENSG00000180198.16;SE:chr1:28535380-28535870:28536026-28536261:+	217.0	5.0	101.0	2.0	1.0	1.0
ENSG00000180198.16;SE:chr1:28536026-28536261:28536381-28536746:+	217.0	13.0	101.0	7.0	0.8063202545278654	1.0
ENSG00000180198.16;SE:chr1:28518308-28518279:28518308-28529857:+	7.0	172.0	2.0	72.0	1.0	1.0
ENSG00000180198.16;SE:chr1:28529939-28530522:28530615-28531802:+	6.0	208.0	7.0	88.0	0.11955225008049745	1.0
ENSG00000180098.9;SE:chr1:28564834-28567293:28567413-28571175:+	87.0	2.0	108.0	2.0	1.0	1.0
ENSG00000180098.9;SE:chr1:28567413-28571175:28571338-28571866:+	86.0	7.0	104.0	5.0	0.3916099080126484	1.0
ENSG00000180098.9;SE:chr1:28571338-28571866:28571900-28577499:+	81.0	1.0	97.0	4.0	0.381774823310872	1.0
ENSG00000180098.9;SE:chr1:28571900-28574588:28574718-28577499:+	7.0	88.0	9.0	102.0	1.0	1.0
ENSG00000180098.9;SE:chr1:28560732-28561112:28561260-28561345:+	5.0	91.0	17.0	98.0	0.025048329409276912	1.0
ENSG00000198492.15;SE:chr1:28737147-28737657:28737682-28738258:+	66.0	36.0	48.0	29.0	0.7559993189444039	1.0
ENSG00000198492.15;SE:chr1:28738338-28740302:28740398-28742402:+	8.0	67.0	3.0	61.0	0.22434600825579115	1.0
ENSG00000198492.15;SE:chr1:28737147-28736991:28737147-28737657:+	8.0	58.0	10.0	38.0	0.2981220031707086	1.0
ENSG00000198492.15;SE:chr1:28738338-28742402:28743986-28768928:+	67.0	3.0	61.0	1.0	0.622043676188899	1.0
ENSG00000198492.15;SE:chr1:28743986-28768928:28769125-28768928:+	5.0	114.0	9.0	84.0	0.1624031965321301	1.0
ENSG00000121766.15;SE:chr1:31319166-31337174:31337275-31338956:+	83.0	7.0	119.0	4.0	0.20926742064372855	1.0
ENSG00000121766.15;SE:chr1:31346740-31348828:31348974-31364031:+	89.0	3.0	116.0	13.0	0.06636863249670548	1.0
ENSG00000121766.15;SE:chr1:31348974-31364031:31364152-31364031:+	32.0	57.0	24.0	92.0	0.017895706156483535	1.0
ENSG00000121766.15;SE:chr1:31310164-31318166:31318236-31319108:+	20.0	51.0	18.0	75.0	0.19651993364216405	1.0
ENSG00000121766.15;SE:chr1:31297075-31297022:31297075-31310043:+	28.0	35.0	18.0	49.0	0.04419055585167134	1.0
ENSG00000121766.15;SE:chr1:31297075-31310043:31310164-31319108:+	36.0	4.0	37.0	3.0	1.0	1.0
ENSG00000121766.15;SE:chr1:31310164-31319108:31319166-31337174:+	51.0	7.0	75.0	12.0	0.8075256749052893	1.0
ENSG00000121775.17;SE:chr1:32094971-32095659:32095762-32100441:+	21.0	59.0	23.0	52.0	0.5950138674034748	1.0
ENSG00000121775.17;SE:chr1:32075822-32076762:32076846-32091674:+	13.0	30.0	1.0	41.0	0.000727659496433224	0.9999812699433243
ENSG00000121775.17;SE:chr1:32076846-32077163:32077318-32091674:+	37.0	13.0	33.0	1.0	0.00609066215895886	1.0
ENSG00000121775.17;SE:chr1:32075822-32076563:32076646-32076762:+	2.0	48.0	5.0	29.0	0.11334320109897794	1.0
ENSG00000025800.13;SE:chr1:32167296-32169881:32170060-32170706:+	194.0	5.0	185.0	8.0	0.40982127131601165	1.0
ENSG00000160050.14;SE:chr1:32200709-32200643:32200709-32201912:+	41.0	29.0	40.0	16.0	0.19006010731867537	1.0
ENSG00000160050.14;SE:chr1:32204045-32204185:32204379-32204597:+	55.0	37.0	88.0	25.0	0.0059861023244334385	1.0
ENSG00000160050.14;SE:chr1:32204045-32204597:32204620-32205193:+	37.0	2.0	25.0	0.0	0.5163690476190479	1.0
ENSG00000084623.11;SE:chr1:32222032-32222357:32222444-32222537:+	807.0	60.0	641.0	43.0	0.6815034124871749	1.0
ENSG00000084623.11;SE:chr1:32224475-32226170:32226320-32226402:+	885.0	17.0	699.0	13.0	1.0	1.0
ENSG00000084623.11;SE:chr1:32226320-32226402:32226530-32228498:+	920.0	6.0	736.0	9.0	0.298009557277473	1.0
ENSG00000084623.11;SE:chr1:32228816-32229134:32229208-32230926:+	989.0	9.0	806.0	12.0	0.27820148080001916	1.0
ENSG00000116478.11;SE:chr1:32292218-32292122:32292218-32302620:+	26.0	273.0	34.0	179.0	0.017200950361019596	1.0
ENSG00000116478.11;SE:chr1:32327677-32329067:32329160-32330577:+	270.0	15.0	182.0	7.0	0.5082117233417873	1.0
ENSG00000116478.11;SE:chr1:32332242-32332700:32332749-32333016:+	305.0	13.0	212.0	15.0	0.23760956128444066	1.0
ENSG00000162521.18;SE:chr1:32652061-32657426:32657572-32668224:+	433.0	29.0	577.0	54.0	0.16729304681169285	1.0
ENSG00000162521.18;SE:chr1:32668398-32668738:32668854-32668971:+	505.0	24.0	667.0	63.0	0.0047508684369684945	1.0
ENSG00000162521.18;SE:chr1:32672901-32673458:32673580-32679634:+	31.0	78.0	57.0	101.0	0.2332969612786433	1.0
ENSG00000162521.18;SE:chr1:32672901-32673458:32673580-32679639:+	47.0	325.0	50.0	444.0	0.2765682401033536	1.0
ENSG00000162521.18;SE:chr1:32651322-32651244:32651322-32651913:+	78.0	272.0	101.0	420.0	0.3058375871782451	1.0
ENSG00000116497.17;SE:chr1:32830067-32834033:32834061-32853078:+	12.0	48.0	10.0	88.0	0.10000915613919856	1.0
ENSG00000197056.10;SE:chr1:35079442-35093913:35094083-35095818:+	16.0	7.0	19.0	11.0	0.7720203272782464	1.0
ENSG00000197056.10;SE:chr1:35079442-35093319:35093441-35093913:+	8.0	16.0	5.0	19.0	0.517082499281601	1.0
ENSG00000116863.10;SE:chr1:36089115-36091243:36091340-36091617:+	88.0	15.0	59.0	8.0	0.8189736620514589	1.0
ENSG00000116871.15;SE:chr1:36179315-36179511:36179557-36179665:+	20.0	12.0	29.0	23.0	0.6501177232791426	1.0
ENSG00000116871.15;SE:chr1:36179315-36179514:36179557-36179665:+	31.0	12.0	44.0	23.0	0.5339668086120326	1.0
ENSG00000054118.14;SE:chr1:36224505-36259381:36259484-36282532:+	763.0	669.0	680.0	557.0	0.39167783313622195	1.0
ENSG00000054118.14;SE:chr1:36224505-36225411:36225463-36259381:+	6.0	763.0	7.0	680.0	0.7819401640421029	1.0
