event	samp1_inclusion	samp1_exclusion	samp2_inclusion	sampe2_exclusion	pvalue	T98G_42MGBA.adj.pval
ENSG00000142676.14;SE:chr1:23692759-23693806:23693913-23695797:+	14.0	7.0	20.0	6.0	0.5202793215730536	1.0
ENSG00000057757.9;SE:chr1:23778713-23779437:23779481-23779863:+	16.0	10.0	30.0	18.0	1.0	1.0
ENSG00000011009.10;SE:chr1:23793752-23793859:23793930-23794062:+	33.0	3.0	50.0	18.0	0.038819439608453875	1.0
ENSG00000011009.10;SE:chr1:23792760-23793007:23793039-23793150:+	29.0	7.0	56.0	12.0	0.7966982064530397	1.0
ENSG00000011009.10;SE:chr1:23791250-23791188:23791250-23792656:+	18.0	17.0	28.0	29.0	1.0	1.0
ENSG00000133226.16;SE:chr1:24662804-24663182:24663224-24666814:+	117.0	109.0	158.0	150.0	0.930346105745277	1.0
ENSG00000133226.16;SE:chr1:24646789-24647078:24647208-24648858:+	21.0	191.0	43.0	239.0	0.10376422645695077	1.0
ENSG00000133226.16;SE:chr1:24643347-24643292:24643347-24645983:+	57.0	170.0	66.0	226.0	0.5331948397570148	1.0
ENSG00000133226.16;SE:chr1:24671595-24672181:24672810-24672181:+	7.0	200.0	7.0	297.0	0.5827454775891185	1.0
ENSG00000133226.16;SE:chr1:24653032-24654305:24654343-24654854:+	11.0	235.0	13.0	316.0	0.8341666384691719	1.0
ENSG00000133226.16;SE:chr1:24647208-24648023:24648166-24648858:+	5.0	21.0	9.0	43.0	1.0	1.0
ENSG00000169504.14;SE:chr1:24745625-24797741:24797851-24814093:+	198.0	0.0	442.0	6.0	0.18490357456741596	1.0
ENSG00000169504.14;SE:chr1:24745625-24793176:24793213-24797741:+	22.0	198.0	64.0	442.0	0.38164177126760584	1.0
ENSG00000183726.10;SE:chr1:25340579-25342960:25343073-25351625:+	111.0	4.0	231.0	19.0	0.16641732064405235	1.0
ENSG00000183726.10;SE:chr1:25352974-25356792:25356853-25360659:+	112.0	0.0	235.0	7.0	0.10262122280266928	1.0
ENSG00000183726.10;SE:chr1:25351693-25352881:25352974-25356792:+	108.0	5.0	222.0	12.0	1.0	1.0
ENSG00000183726.10;SE:chr1:25338456-25338330:25338456-25340473:+	95.0	7.0	205.0	25.0	0.31584113638688915	1.0
ENSG00000183726.10;SE:chr1:25356853-25360659:25360994-25360659:+	92.0	25.0	190.0	57.0	0.7887285826566153	1.0
ENSG00000183726.10;SE:chr1:25356853-25360659:25361142-25360659:+	3.0	114.0	15.0	232.0	0.19820897084531414	1.0
ENSG00000117640.17;SE:chr1:25823128-25823237:25823439-25823643:+	16.0	87.0	22.0	82.0	0.36979000422482056	1.0
ENSG00000117640.17;SE:chr1:25823128-25823237:25823323-25823643:+	7.0	87.0	4.0	82.0	0.5405654149791801	1.0
ENSG00000130695.15;SE:chr1:26272071-26274963:26275071-26276534:+	30.0	4.0	50.0	4.0	0.705579216350992	1.0
ENSG00000142669.14;SE:chr1:26280203-26280082:26280203-26280764:+	36.0	8.0	164.0	38.0	1.0	1.0
ENSG00000142669.14;SE:chr1:26280203-26280110:26280203-26280764:+	8.0	36.0	38.0	164.0	1.0	1.0
ENSG00000117682.16;SE:chr1:26446432-26447558:26447660-26457790:+	95.0	19.0	246.0	49.0	1.0	1.0
ENSG00000198830.10;SE:chr1:26474135-26474571:26474667-26475112:+	568.0	49.0	1240.0	95.0	0.5155786460795084	1.0
ENSG00000198830.10;SE:chr1:26472627-26472505:26472627-26473702:+	45.0	32.0	92.0	97.0	0.176395373277366	1.0
ENSG00000198830.10;SE:chr1:26472627-26473702:26473732-26474084:+	45.0	34.0	92.0	92.0	0.34646285152236483	1.0
ENSG00000198830.10;SE:chr1:26473732-26474084:26474135-26474571:+	281.0	38.0	640.0	114.0	0.18077046067612443	1.0
ENSG00000198830.10;SE:chr1:26472627-26472505:26472627-26473482:+	281.0	220.0	645.0	472.0	0.550167048367391	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26474571:+	38.0	27.0	85.0	92.0	0.19154543464644863	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473732-26474084:+	30.0	34.0	111.0	92.0	0.3155988488331126	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26473702:+	30.0	77.0	99.0	189.0	0.277348099486881	1.0
ENSG00000198830.10;SE:chr1:26473585-26473702:26473732-26474084:+	30.0	54.0	99.0	78.0	0.002396485973114687	0.9999999999999997
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26474084:+	13.0	34.0	20.0	92.0	0.19914039733821534	1.0
ENSG00000198830.10;SE:chr1:26473527-26474084:26474135-26474571:+	34.0	34.0	88.0	103.0	0.6714940793482245	1.0
ENSG00000198830.10;SE:chr1:26474667-26475112:26475955-26475112:+	136.0	569.0	262.0	1372.0	0.05530895878996277	1.0
ENSG00000198830.10;SE:chr1:26475955-26475112:26475968-26475112:+	13.0	123.0	20.0	242.0	0.5663262070202895	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26473702:+	255.0	77.0	533.0	189.0	0.3214526892109315	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473732-26474084:+	225.0	34.0	433.0	88.0	0.20894489891341952	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26474135-26474571:+	47.0	27.0	88.0	92.0	0.038333198272737415	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473817-26474084:+	29.0	34.0	88.0	88.0	0.6601111036845828	1.0
ENSG00000198830.10;SE:chr1:26472627-26474084:26474135-26474571:+	34.0	27.0	92.0	92.0	0.46284289891906455	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473585-26474084:+	54.0	34.0	78.0	92.0	0.025268158175525884	1.0
ENSG00000198830.10;SE:chr1:26473585-26474084:26474135-26474571:+	54.0	38.0	78.0	85.0	0.11736079765690896	1.0
ENSG00000198830.10;SE:chr1:26472627-26473702:26474135-26474571:+	32.0	27.0	97.0	92.0	0.7659014828754659	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26474135-26474571:+	45.0	34.0	82.0	103.0	0.0800360393486883	1.0
ENSG00000198830.10;SE:chr1:26472627-26473482:26473527-26474571:+	34.0	27.0	103.0	92.0	0.7690843218849048	1.0
ENSG00000198830.10;SE:chr1:26473527-26473702:26473732-26474571:+	38.0	34.0	114.0	103.0	1.0	1.0
ENSG00000198830.10;SE:chr1:26473527-26473237:26473527-26474084:+	21.0	13.0	68.0	20.0	0.1113054074447349	1.0
ENSG00000198830.10;SE:chr1:26474667-26475112:26475968-26475112:+	38.0	667.0	81.0	1553.0	0.6820004015454251	1.0
ENSG00000117713.19;SE:chr1:26729863-26731151:26731358-26731151:+	1.0	25.0	0.0	61.0	0.29885057471264465	1.0
ENSG00000117713.19;SE:chr1:26775707-26779022:26779736-26779022:+	9.0	19.0	16.0	50.0	0.4520366576399113	1.0
ENSG00000090273.13;SE:chr1:26921929-26924088:26924166-26941456:+	288.0	7.0	402.0	6.0	0.4069811446175373	1.0
ENSG00000090273.13;SE:chr1:26921929-26921755:26921929-26924088:+	264.0	38.0	365.0	64.0	0.387771524621016	1.0
ENSG00000090273.13;SE:chr1:26945686-26946129:26946391-26946129:+	274.0	40.0	383.0	56.0	1.0	1.0
ENSG00000090273.13;SE:chr1:26941818-26942659:26943065-26945389:+	10.0	14.0	15.0	22.0	1.0	1.0
ENSG00000186501.14;SE:chr1:27322391-27322255:27322391-27330719:+	11.0	83.0	10.0	105.0	0.4962668243902878	1.0
ENSG00000186501.14;SE:chr1:27334281-27334666:27334754-27335378:+	11.0	82.0	10.0	105.0	0.49393733265160644	1.0
ENSG00000186501.14;SE:chr1:27322391-27322292:27322391-27330719:+	79.0	15.0	82.0	33.0	0.03246014571397806	1.0
ENSG00000186501.14;SE:chr1:27330804-27330984:27331137-27332069:+	3.0	102.0	23.0	108.0	0.0002552099177661305	0.9785528860902408
ENSG00000009780.15;SE:chr1:27744811-27749067:27749154-27755194:+	27.0	33.0	112.0	81.0	0.10180269052190627	1.0
ENSG00000009780.15;SE:chr1:27727536-27730231:27730333-27732602:+	24.0	36.0	107.0	86.0	0.03948459680505337	1.0
ENSG00000130770.17;SE:chr1:28236270-28236153:28236270-28236360:+	43.0	42.0	80.0	52.0	0.1619738584403773	1.0
ENSG00000204138.12;SE:chr1:28407463-28457831:28457859-28459084:+	5.0	17.0	6.0	35.0	0.4939840555327806	1.0
ENSG00000204138.12;SE:chr1:28407463-28457831:28457855-28459084:+	13.0	17.0	33.0	35.0	0.6664935796233196	1.0
ENSG00000204138.12;SE:chr1:28465849-28466381:28466768-28473553:+	32.0	2.0	74.0	1.0	0.22892432859851236	1.0
ENSG00000204138.12;SE:chr1:28474151-28473180:28474151-28476106:+	8.0	33.0	11.0	71.0	0.431039677059378	1.0
ENSG00000204138.12;SE:chr1:28493091-28496533:28497706-28496533:+	8.0	33.0	11.0	71.0	0.431039677059378	1.0
ENSG00000180198.16;SE:chr1:28529939-28530522:28530573-28531802:+	11.0	57.0	15.0	88.0	0.8292461859053741	1.0
ENSG00000180198.16;SE:chr1:28531990-28532170:28532350-28535049:+	69.0	1.0	108.0	2.0	1.0	1.0
ENSG00000180198.16;SE:chr1:28535380-28535870:28536026-28536261:+	65.0	0.0	101.0	2.0	0.5227402338180761	1.0
ENSG00000180198.16;SE:chr1:28536026-28536261:28536381-28536746:+	65.0	3.0	101.0	7.0	0.7427226464608414	1.0
ENSG00000180198.16;SE:chr1:28518308-28518279:28518308-28529857:+	1.0	45.0	2.0	72.0	1.0	1.0
ENSG00000180198.16;SE:chr1:28529939-28530522:28530615-28531802:+	2.0	57.0	7.0	88.0	0.48369669862753817	1.0
ENSG00000180098.9;SE:chr1:28564834-28567293:28567413-28571175:+	72.0	1.0	108.0	2.0	1.0	1.0
ENSG00000180098.9;SE:chr1:28567413-28571175:28571338-28571866:+	69.0	1.0	104.0	5.0	0.4061771385180339	1.0
ENSG00000180098.9;SE:chr1:28571338-28571866:28571900-28577499:+	67.0	3.0	97.0	4.0	1.0	1.0
ENSG00000180098.9;SE:chr1:28571900-28574588:28574718-28577499:+	3.0	68.0	9.0	102.0	0.37202345989810404	1.0
ENSG00000180098.9;SE:chr1:28560732-28561112:28561260-28561345:+	4.0	70.0	17.0	98.0	0.057464684129498955	1.0
ENSG00000198492.15;SE:chr1:28737147-28737657:28737682-28738258:+	21.0	16.0	48.0	29.0	0.682807651748542	1.0
ENSG00000198492.15;SE:chr1:28738338-28740302:28740398-28742402:+	2.0	41.0	3.0	61.0	1.0	1.0
ENSG00000198492.15;SE:chr1:28737147-28736991:28737147-28737657:+	3.0	18.0	10.0	38.0	0.7403030243516027	1.0
ENSG00000198492.15;SE:chr1:28738338-28742402:28743986-28768928:+	41.0	0.0	61.0	1.0	1.0	1.0
ENSG00000198492.15;SE:chr1:28743986-28768928:28769125-28768928:+	3.0	53.0	9.0	84.0	0.5360636224890265	1.0
ENSG00000121766.15;SE:chr1:31319166-31337174:31337275-31338956:+	46.0	1.0	119.0	4.0	1.0	1.0
ENSG00000121766.15;SE:chr1:31346740-31348828:31348974-31364031:+	47.0	2.0	116.0	13.0	0.24286195583385783	1.0
ENSG00000121766.15;SE:chr1:31348974-31364031:31364152-31364031:+	17.0	30.0	24.0	92.0	0.04724285987986905	1.0
ENSG00000121766.15;SE:chr1:31310164-31318166:31318236-31319108:+	11.0	28.0	18.0	75.0	0.35654775004437433	1.0
ENSG00000121766.15;SE:chr1:31297075-31297022:31297075-31310043:+	17.0	19.0	18.0	49.0	0.0499041198536002	1.0
ENSG00000121766.15;SE:chr1:31297075-31310043:31310164-31319108:+	21.0	0.0	37.0	3.0	0.5448735759933319	1.0
ENSG00000121766.15;SE:chr1:31310164-31319108:31319166-31337174:+	28.0	4.0	75.0	12.0	1.0	1.0
ENSG00000121775.17;SE:chr1:32094971-32095659:32095762-32100441:+	16.0	39.0	23.0	52.0	1.0	1.0
ENSG00000121775.17;SE:chr1:32075822-32076762:32076846-32091674:+	4.0	28.0	1.0	41.0	0.15906645599873478	1.0
ENSG00000121775.17;SE:chr1:32076846-32077163:32077318-32091674:+	23.0	4.0	33.0	1.0	0.16064252572679819	1.0
ENSG00000121775.17;SE:chr1:32075822-32076563:32076646-32076762:+	3.0	24.0	5.0	29.0	1.0	1.0
ENSG00000025800.13;SE:chr1:32167296-32169881:32170060-32170706:+	118.0	2.0	185.0	8.0	0.3273725965522669	1.0
ENSG00000160050.14;SE:chr1:32200709-32200643:32200709-32201912:+	45.0	17.0	40.0	16.0	1.0	1.0
ENSG00000160050.14;SE:chr1:32204045-32204185:32204379-32204597:+	75.0	20.0	88.0	25.0	0.8675894021113442	1.0
ENSG00000160050.14;SE:chr1:32204045-32204597:32204620-32205193:+	20.0	2.0	25.0	0.0	0.21369102682701246	1.0
ENSG00000084623.11;SE:chr1:32222032-32222357:32222444-32222537:+	416.0	29.0	641.0	43.0	0.9011559115281962	1.0
ENSG00000084623.11;SE:chr1:32224475-32226170:32226320-32226402:+	454.0	6.0	699.0	13.0	0.6374311279792315	1.0
ENSG00000084623.11;SE:chr1:32226320-32226402:32226530-32228498:+	468.0	5.0	736.0	9.0	1.0	1.0
ENSG00000084623.11;SE:chr1:32228816-32229134:32229208-32230926:+	498.0	7.0	806.0	12.0	1.0	1.0
ENSG00000116478.11;SE:chr1:32292218-32292122:32292218-32302620:+	14.0	149.0	34.0	179.0	0.042065266645008176	1.0
ENSG00000116478.11;SE:chr1:32327677-32329067:32329160-32330577:+	148.0	6.0	182.0	7.0	1.0	1.0
ENSG00000116478.11;SE:chr1:32332242-32332700:32332749-32333016:+	166.0	4.0	212.0	15.0	0.05814449146708789	1.0
ENSG00000162521.18;SE:chr1:32652061-32657426:32657572-32668224:+	267.0	21.0	577.0	54.0	0.6037112747864037	1.0
ENSG00000162521.18;SE:chr1:32668398-32668738:32668854-32668971:+	320.0	21.0	667.0	63.0	0.18037496353996957	1.0
ENSG00000162521.18;SE:chr1:32672901-32673458:32673580-32679634:+	21.0	44.0	57.0	101.0	0.6448475559893314	1.0
ENSG00000162521.18;SE:chr1:32672901-32673458:32673580-32679639:+	28.0	220.0	50.0	444.0	0.6142328878900765	1.0
ENSG00000162521.18;SE:chr1:32651322-32651244:32651322-32651913:+	44.0	183.0	101.0	420.0	1.0	1.0
ENSG00000116497.17;SE:chr1:32830067-32834033:32834061-32853078:+	12.0	43.0	10.0	88.0	0.057756772015231155	1.0
ENSG00000197056.10;SE:chr1:35079442-35093913:35094083-35095818:+	17.0	3.0	19.0	11.0	0.11834258497594077	1.0
ENSG00000197056.10;SE:chr1:35079442-35093319:35093441-35093913:+	10.0	17.0	5.0	19.0	0.23499286392246047	1.0
ENSG00000116863.10;SE:chr1:36089115-36091243:36091340-36091617:+	52.0	6.0	59.0	8.0	1.0	1.0
ENSG00000116871.15;SE:chr1:36179315-36179511:36179557-36179665:+	15.0	15.0	29.0	23.0	0.6513735138063212	1.0
ENSG00000116871.15;SE:chr1:36179315-36179514:36179557-36179665:+	21.0	15.0	44.0	23.0	0.5232582582779952	1.0
ENSG00000054118.14;SE:chr1:36224505-36259381:36259484-36282532:+	464.0	411.0	680.0	557.0	0.39967416184901183	1.0
ENSG00000054118.14;SE:chr1:36224505-36225411:36225463-36259381:+	4.0	464.0	7.0	680.0	1.0	1.0
